"user_id","event_dt","revenue","ad_network"
"fb1b6f9ddc3ddd6d","2021-02-01 10:26:57","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-02-06 22:15:05","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-02-19 4:36:59","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-02-26 21:14:23","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-03-04 21:03:59","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-03-09 15:49:49","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-03-12 14:27:01","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-03-28 13:52:03","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-05-02 23:26:34","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-05-08 0:01:32","4.99","FB"
"fb1b6f9ddc3ddd6d","2021-05-26 14:32:32","4.99","FB"
"f5f8d748a39429af","2021-02-01 9:04:03","4.99","FB"
"f5f8d748a39429af","2021-02-08 12:12:16","4.99","FB"
"f5f8d748a39429af","2021-02-18 21:06:46","4.99","FB"
"f5f8d748a39429af","2021-02-25 11:59:59","4.99","FB"
"f5f8d748a39429af","2021-03-08 9:36:13","4.99","FB"
"f5f8d748a39429af","2021-04-04 11:53:30","4.99","FB"
"f5f8d748a39429af","2021-04-14 5:25:05","4.99","FB"
"f5f8d748a39429af","2021-04-16 20:11:16","4.99","FB"
"f5f8d748a39429af","2021-04-23 9:59:10","4.99","FB"
"f5f8d748a39429af","2021-04-26 18:31:19","4.99","FB"
"f5f8d748a39429af","2021-05-19 4:57:50","4.99","FB"
"d9bfc965c0698fdb","2021-02-01 5:57:17","5.99","FB"
"d9bfc965c0698fdb","2021-02-03 10:13:52","4.99","FB"
"d9bfc965c0698fdb","2021-02-07 14:32:41","4.99","FB"
"d9bfc965c0698fdb","2021-02-10 14:44:26","4.99","FB"
"d9bfc965c0698fdb","2021-02-12 23:36:34","4.99","FB"
"d9bfc965c0698fdb","2021-02-23 23:50:06","4.99","FB"
"d9bfc965c0698fdb","2021-03-12 16:13:11","4.99","FB"
"d9bfc965c0698fdb","2021-05-06 7:05:13","4.99","FB"
"d9bfc965c0698fdb","2021-05-09 13:23:27","4.99","FB"
"d9bfc965c0698fdb","2021-06-06 13:31:27","4.99","FB"
"b265c61a4d6962f9","2021-02-01 4:51:59","4.99","FB"
"b265c61a4d6962f9","2021-02-07 9:59:57","4.99","FB"
"b265c61a4d6962f9","2021-02-18 19:39:23","4.99","FB"
"b265c61a4d6962f9","2021-02-23 17:34:49","4.99","FB"
"b265c61a4d6962f9","2021-03-28 9:21:24","4.99","FB"
"b265c61a4d6962f9","2021-04-18 19:46:59","4.99","FB"
"b265c61a4d6962f9","2021-05-16 6:46:46","4.99","FB"
"b265c61a4d6962f9","2021-06-01 8:29:19","4.99","FB"
"1202a1af620ad9b4","2021-02-01 10:20:58","4.99","FB"
"1202a1af620ad9b4","2021-02-13 15:26:26","4.99","FB"
"1202a1af620ad9b4","2021-02-14 14:04:48","4.99","FB"
"1202a1af620ad9b4","2021-02-18 11:02:06","4.99","FB"
"1202a1af620ad9b4","2021-03-08 4:07:22","4.99","FB"
"1202a1af620ad9b4","2021-04-07 5:17:56","4.99","FB"
"1202a1af620ad9b4","2021-04-13 15:06:55","4.99","FB"
