user_id,event_name,event_dt,duration_sec
--0-b0cbb8-a,tutorial_completed,2020-06-08 13:46:07,951
--014ca35_b7,tutorial_completed,2020-05-09 04:20:13,1143
--0424774bcb,tutorial_completed,2020-05-30 07:23:05,3758
--043682a1ad,tutorial_completed,2020-05-15 03:14:40,1326
--05-26b0-6b,tutorial_completed,2020-05-20 13:07:08,2828
--08-9-27837,tutorial_completed,2020-04-04 16:55:32,1241
--0879c8c638,tutorial_completed,2020-06-22 07:53:02,768
--1-abff208-,tutorial_completed,2020-05-17 22:54:55,1869
--13_f829805,tutorial_completed,2020-05-09 16:25:56,1267
--158fa03d_f,tutorial_completed,2020-04-24 13:48:53,3061
--1603_0b1-_,tutorial_completed,2020-06-23 13:35:17,3519
--1d8760d14a,tutorial_completed,2020-06-02 00:43:56,2661
--1f2_-0a60d,tutorial_completed,2020-05-24 12:11:14,2785
--29fbc1-_84,tutorial_completed,2020-06-22 22:59:43,1591
--2f602fc4_4,tutorial_completed,2020-05-01 13:02:57,1305
--30_072-3b4,tutorial_completed,2020-04-13 22:21:04,1392
--379586c780,tutorial_completed,2020-04-09 09:20:17,3007
--41_48-960_,tutorial_completed,2020-05-28 15:02:03,2879
--4236df-601,tutorial_completed,2020-05-31 19:05:54,3998
--474_b5c484,tutorial_completed,2020-06-28 11:01:05,1408
--486fd__1b5,tutorial_completed,2020-04-18 14:02:47,1861
--4_-cbf0c-9,tutorial_completed,2020-06-27 21:38:28,1472
--4aa6500_11,tutorial_completed,2020-05-17 20:56:56,2821
--54-5a_4460,tutorial_completed,2020-06-13 23:43:04,514
--5429c084-4,tutorial_completed,2020-05-23 05:58:27,4471
--581__99d8a,tutorial_completed,2020-06-29 16:32:47,1687
--59b08_42f2,tutorial_completed,2020-06-18 03:47:33,2217
--5d1dd5d794,tutorial_completed,2020-06-28 02:16:12,1151
--65c-a-278a,tutorial_completed,2020-05-15 20:48:52,1301
--6968ca-40d,tutorial_completed,2020-04-04 05:30:43,1437
--6f6d4__8a5,tutorial_completed,2020-04-14 09:24:12,1660
--74f82a604b,tutorial_completed,2020-04-04 06:39:34,1849
--7713_f68-4,tutorial_completed,2020-05-31 20:11:57,4685
--77f30839ad,tutorial_completed,2020-04-17 14:31:59,3160
--7b--_1b6d4,tutorial_completed,2020-04-21 02:28:17,2056
--7d-ac600b6,tutorial_completed,2020-05-15 19:35:07,2390
--7d6c34264_,tutorial_completed,2020-05-18 17:49:42,2274
--80c21_5b3c,tutorial_completed,2020-04-20 00:46:11,2371
--8418613b89,tutorial_completed,2020-06-11 01:13:04,331
--85056d4478,tutorial_completed,2020-04-04 02:12:42,2609
--855ff239_a,tutorial_completed,2020-05-23 21:16:09,5583
--8_9d55a6f5,tutorial_completed,2020-05-02 07:31:07,3826
--8c67c8-54f,tutorial_completed,2020-05-11 08:05:09,1552
--98dbca4a-a,tutorial_completed,2020-06-14 07:44:46,2234
--9d_5a28a00,tutorial_completed,2020-05-07 23:47:12,1615
